Hyperparams,Best_Val_Loss,Efficiency,Fake_Rate
lr0.001_bs32_hd32_k24_temp0.1_cd128_h4,7.042525581073563e-07,0.7910447761194029,0.056074766355140186
lr0.001_bs32_hd32_k24_temp0.1_cd128_h8,7.222504607691347e-07,0.8109452736318408,0.07009345794392523
lr0.001_bs32_hd32_k64_temp0.1_cd8_h4,4.926961728485237e-07,0.8308457711442786,0.06542056074766354
lr0.001_bs32_hd32_k64_temp0.1_cd8_h8,6.842818210197867e-07,0.835820895522388,0.056074766355140186
lr0.001_bs32_hd32_k24_temp0.1_cd8_h8,9.460568446318504e-07,0.8308457711442786,0.06074766355140187
lr0.001_bs32_hd32_k24_temp0.1_cd8_h4,8.210016050413018e-07,0.8009950248756219,0.07009345794392523
lr0.001_bs32_hd32_k64_temp0.1_cd128_h4,5.682626022904173e-07,0.8407960199004975,0.07009345794392523
lr0.001_bs32_hd128_k24_temp0.1_cd8_h8,1.091366395602776e-06,0.8159203980099502,0.056074766355140186
