event_index,cp_id,trackster_id,sim_to_reco_score,reco_to_sim_score,cp_energy,trackster_energy,cp_avg_eta,cp_separation,energy_diff_ratio
0,0,0,1.0,1.0,68.90359805431217,27.699362752959132,1.8930465,71.81699,-0.5979983116248073
0,0,1,1.0,1.0,68.90359805431217,2.008531242609024,1.8930465,71.81699,-0.9708501254023654
0,0,2,0.12941445804611212,0.06921467615241549,68.90359805431217,50.77596938610077,1.8930465,71.81699,-0.26308682246060044
0,1,0,0.36691479469210014,0.13614725719061258,43.89626831933856,27.699362752959132,2.656205,71.81699,-0.3689813778371648
0,1,1,1.0,0.9105810207071366,43.89626831933856,2.008531242609024,2.656205,71.81699,-0.9542436904203959
0,1,2,1.0,1.0,43.89626831933856,50.77596938610077,2.656205,71.81699,0.15672633073757997
1,0,0,0.2994388110433105,0.12500863277071284,63.696178750135005,41.17540115863085,1.62103,59.8013,-0.35356559896391626
1,0,1,1.0,0.9518469705855255,63.696178750135005,1.5525019764900208,1.62103,59.8013,-0.9756264503310298
1,0,2,1.0,1.0,63.696178750135005,27.00166493654251,1.62103,59.8013,-0.5760865806022111
1,0,3,1.0,1.0,63.696178750135005,2.120668165385723,1.62103,59.8013,-0.9667065088204961
1,0,4,1.0,1.0,63.696178750135005,9.1298448741436,1.62103,59.8013,-0.8566657364179127
1,0,5,1.0,1.0,63.696178750135005,1.0523014068603516,1.62103,59.8013,-0.9834793636367375
1,1,0,1.0,1.0,57.684650061652064,41.17540115863085,1.804925,59.8013,-0.2861983020678205
1,1,1,1.0,1.0,57.684650061652064,1.5525019764900208,1.804925,59.8013,-0.9730863934368893
1,1,2,1.0,0.28292719526256516,57.684650061652064,27.00166493654251,1.804925,59.8013,-0.5319090103227855
1,1,3,1.0,0.9278252718630805,57.684650061652064,2.120668165385723,1.804925,59.8013,-0.9632368721467635
1,1,4,1.0,0.7085066114227879,57.684650061652064,9.1298448741436,1.804925,59.8013,-0.841728347760005
1,1,5,1.0,0.9638481571701744,57.684650061652064,1.0523014068603516,1.804925,59.8013,-0.9817576876043163
2,0,0,0.9999999946010867,0.9999999815492516,85.02559693250805,130.1712532043457,2.0907512,47.237347,0.5309654727584394
2,0,1,0.9253925502913611,0.16657775211548861,85.02559693250805,50.323302750475705,2.0907512,47.237347,-0.4081393772463423
2,1,0,0.04773456441088387,0.028153122926518857,156.41613681521267,130.1712532043457,1.8668852,47.237347,-0.1677888493172045
2,1,1,1.0,0.9999920090618449,156.41613681521267,50.323302750475705,1.8668852,47.237347,-0.6782729469279325
3,0,0,1.0,1.0,121.50857674703002,3.6144727133214474,2.580636,43.345654,-0.9702533532192839
3,0,1,0.6141828650277218,0.19146888409628568,121.50857674703002,68.33987732604146,2.580636,43.345654,-0.4375715759693329
3,0,2,1.0,0.8841384066197063,121.50857674703002,7.255731850862503,2.580636,43.345654,-0.9402862576032942
3,0,3,1.0,0.9727184234549593,121.50857674703002,1.6689342707395554,2.580636,43.345654,-0.9862648850359417
3,1,0,1.0,0.6606071997298305,19.30575622059405,3.6144727133214474,2.6044126,43.345654,-0.8127774601511969
3,1,1,0.9791707878059516,1.0,19.30575622059405,68.33987732604146,2.6044126,43.345654,2.539870520748687
3,1,2,1.0,0.99999819103541,19.30575622059405,7.255731850862503,2.6044126,43.345654,-0.6241674364911648
3,1,3,1.0,1.0,19.30575622059405,1.6689342707395554,2.6044126,43.345654,-0.9135525046690867
4,0,0,1.0,0.7413918370929664,137.10543628968298,66.93400814756751,2.6626482,26.013083,-0.5118063152058675
4,0,1,0.4007830565348548,0.14140036353770233,137.10543628968298,85.54938694275916,2.6626482,26.013083,-0.37603213076098396
4,0,2,1.0,0.9997550700151671,137.10543628968298,1.9235998801887035,2.6626482,26.013083,-0.9859699226212706
4,0,3,1.0,0.9791576334497034,137.10543628968298,1.4363243877887726,2.6626482,26.013083,-0.9895239428380211
4,0,4,1.0,0.9967622997183502,137.10543628968298,4.210688956081867,2.6626482,26.013083,-0.9692886797924969
4,0,5,1.0,0.9667994700156026,137.10543628968298,2.2951978221535683,2.6626482,26.013083,-0.9832596147587893
4,0,6,1.0,0.9647501638966931,137.10543628968298,2.438150942325592,2.6626482,26.013083,-0.982216963759379
4,1,0,0.9440773745590751,0.22628483069558683,127.6621185541153,66.93400814756751,2.859665,26.013083,-0.4756940515663263
4,1,1,0.8483176747682867,0.9089893413841929,127.6621185541153,85.54938694275916,2.859665,26.013083,-0.3298764902879532
4,1,2,1.0,0.9700912440171173,127.6621185541153,1.9235998801887035,2.859665,26.013083,-0.984932101221763
4,1,3,1.0,1.0,127.6621185541153,1.4363243877887726,2.859665,26.013083,-0.9887490165128356
4,1,4,1.0,0.9351217374002921,127.6621185541153,4.210688956081867,2.859665,26.013083,-0.9670169271529284
4,1,5,1.0,1.0,127.6621185541153,2.2951978221535683,2.859665,26.013083,-0.9820213086846068
4,1,6,1.0,1.0,127.6621185541153,2.438150942325592,2.859665,26.013083,-0.9809015315589324
5,0,0,1.0,1.0,92.20429584942758,30.47504019923508,2.5672534,56.17297,-0.6694835103019305
5,0,1,0.11239749873675926,0.06298691592956498,92.20429584942758,69.06360461190343,2.5672534,56.17297,-0.25097194251462646
5,1,0,0.17939461311170582,0.08456636999075602,42.971190098673105,30.47504019923508,2.4683201,56.17297,-0.2908029745218504
5,1,1,1.0,1.0,42.971190098673105,69.06360461190343,2.4683201,56.17297,0.607207164924111
6,0,0,0.3974595709100361,0.14554840394786203,132.89047993160784,82.19169002585113,2.1000957,38.381756,-0.3815080653772104
6,0,1,1.0,1.0,132.89047993160784,0.9832752123475075,2.1000957,38.381756,-0.9926008604013353
6,0,2,1.0,1.0,132.89047993160784,16.869886800646782,2.1000957,38.381756,-0.8730542111870702
6,0,3,1.0,0.9558666913365975,132.89047993160784,2.96553722769022,2.1000957,38.381756,-0.9776843515862352
6,0,4,1.0,0.9732757398420472,132.89047993160784,1.7877246662974358,2.1000957,38.381756,-0.9865473834753439
6,0,5,1.0,0.976873258235249,132.89047993160784,1.5456506460905075,2.1000957,38.381756,-0.9883689889081145
