event_index,cp_id,trackster_id,sim_to_reco_score,reco_to_sim_score,cp_energy,trackster_energy,cp_avg_eta,cp_separation,energy_diff_ratio
0,0,0,0.26735126030883294,0.11546175769264257,68.90359805431217,45.490386836230755,1.8930465,71.81699,-0.3397966416735788
0,0,1,1.0,1.0,68.90359805431217,28.819339979439974,1.8930465,71.81699,-0.5817440483046533
0,1,0,1.0,1.0,43.89626831933856,45.490386836230755,2.656205,71.81699,0.03631558166391797
0,1,1,0.3014961934695431,0.1179697170033434,43.89626831933856,28.819339979439974,2.656205,71.81699,-0.34346719931216624
1,0,0,1.0,1.0,63.696178750135005,43.41700490564108,1.62103,59.8013,-0.31837347612396516
1,0,1,0.13744612738426518,0.07307869240231285,63.696178750135005,46.477145567536354,1.62103,59.8013,-0.2703307093215879
1,1,0,0.10885613806925412,0.06117642222537994,57.684650061652064,43.41700490564108,1.804925,59.8013,-0.2473386791938938
1,1,1,1.0,1.0,57.684650061652064,46.477145567536354,1.804925,59.8013,-0.19428919967681835
2,0,0,1.0,1.0,85.02559693250805,113.28960286453366,2.0907512,47.237347,0.33241761248040547
2,0,1,1.0,0.3539160211753113,85.02559693250805,34.4431539028883,2.0907512,47.237347,-0.5949084141070046
2,1,0,0.1520635632135776,0.07601967356223592,156.41613681521267,113.28960286453366,1.8668852,47.237347,-0.27571665448832783
2,1,1,1.0,1.0,156.41613681521267,34.4431539028883,1.8668852,47.237347,-0.77979795049165
3,0,0,0.17622466838288303,0.08393456291802184,121.50857674703002,86.3122680708766,2.580636,43.345654,-0.2896611055648276
3,1,0,0.9137664507217478,1.0,19.30575622059405,86.3122680708766,2.6044126,43.345654,3.470804825495757
4,0,0,0.9704718025790234,0.6933565389991542,137.10543628968298,80.70547395199537,2.6626482,26.013083,-0.41136196976553907
4,0,1,0.2983996332877163,0.11260701023839713,137.10543628968298,91.09705102071166,2.6626482,26.013083,-0.3355693728420993
4,1,0,0.7907551888351017,0.16031098210716982,127.6621185541153,80.70547395199537,2.859665,26.013083,-0.36781971922403317
4,1,1,0.8320596476338071,0.9063421058106924,127.6621185541153,91.09705102071166,2.859665,26.013083,-0.28642065436117525
5,0,0,0.1070598639502978,0.060737075743482624,92.20429584942758,69.48064567521214,2.5672534,56.17297,-0.2464489313092727
